,Unnamed: 0,Date,type,Month,Open,High,Low,Close,Price change,Price change Ratio,Volume,Final Price,# of OC,Final BBP,Final BSP,Hitorical HP,Historical LP,MA5,MA10,MA20,BBAND5UP,BBAND5LOW,BBAND10UP,BBAND10LOW,BBAND20UP,BBAND20LOW
0,0,2010-01-04,TX,201001,0.12905126694166175,0.12686253051603671,0.12583509513742072,0.12871453826079637,-35,-0.43%,0.20262428567924853,8167,50760,8166,8168,8211,7410,8112.0,7994.0,7872.0,8173.69,8051.51,8133.28,7855.32,8033.58,7710.42
1,1,2010-01-05,TX,201001,0.12980890647360888,0.13098745685663776,0.1278646934460888,0.12972472430339255,11,0.13%,0.26119490839526155,8178,51769,8178,8179,8260,7410,8139.0,8036.9,7893.3,8193.8,8084.2,8159.39,7914.41,8065.39,7721.21
2,2,2010-01-06,TX,201001,0.12854617392036366,0.13738530179308023,0.13243128964059198,0.141678592474114,142,1.74%,0.2907953792951218,8321,54934,8318,8320,8336,7410,8191.6,8086.1,7921.65,8266.09,8117.11,8213.9,7958.3,8113.98,7729.32
3,3,2010-01-07,TX,201001,0.1401633134102197,0.13898476302719084,0.13674418604651162,0.13654348009091674,-62,-0.75%,0.2919579133249945,8260,54734,8259,8261,8355,7410,8225.4,8125.5,7945.2,8283.0,8167.8,8239.34,8011.66,8148.37,7742.03
4,4,2010-01-08,TX,201001,0.136122569239835,0.13410219715464264,0.13276955602536997,0.13814294132502736,18,0.22%,0.25324602065092094,8277,55794,8276,8278,8355,7410,8240.6,8158.1,7977.1,8299.76,8181.44,8263.68,8052.52,8179.78,7774.42
5,5,2010-01-11,TX,201001,0.13536492970788788,0.13881639868675816,0.1385200845665962,0.14209950332519572,48,0.58%,0.21234885831309935,8322,56822,8321,8325,8355,7410,8240.2,8192.1,8003.7,8337.20270264101,8218.79729735899,8289.96,8094.24,8214.81,7792.59
6,6,2010-01-12,TX,201001,0.1387322165165418,0.13746948396329658,0.13809725158562366,0.14066840643151782,-14,-0.17%,0.24090452014813724,8309,56634,8308,8310,8355,7410,8272.0,8218.4,8027.7,8378.205262897574,8271.794737102426,8308.49,8128.31,8244.79,7810.61
7,7,2010-01-13,TX,201001,0.13376546847377727,0.13225018940988298,0.133446088794926,0.13283946460139742,-94,-1.13%,0.2634513035587276,8215,56891,8215,8217,8355,7410,8298.0,8234.1,8048.5,8333.432262974418,8282.567737025582,8306.89,8161.31,8262.58,7834.42
8,8,2010-01-14,TX,201001,0.13267110026096474,0.13671184443134943,0.13725158562367865,0.14007913124000337,86,1.05%,0.19525175974296716,8299,56371,8300,8303,8355,7410,8277.0,8254.9,8075.9,8253.559045631344,8176.440954368657,8311.82,8197.98,8285.2,7866.5
9,9,2010-01-15,TX,201001,0.138058759154811,0.14151022813368128,0.14325581395348838,0.14580351881471504,70,0.84%,0.2319893066490079,8367,54424,8368,8369,8385,7410,8285.4,8271.5,8109.6,8339.29673615336,8262.70326384664,8334.19,8208.81,8308.49,7910.71
10,10,2010-01-18,TX,201001,0.13721693745264754,0.1413418637932486,0.1414799154334038,0.14445660409125347,-14,-0.17%,0.18885291737179016,8351,49011,8352,8353,8385,7410,8303.6,8271.9,8142.1,8419.221907570303,8318.778092429697,8341.391560952543,8214.608439047457,8323.95,7960.25
11,11,2010-01-19,TX,201001,0.1431096893677919,0.14125768162303223,0.13674418604651162,0.13746948396329658,-81,-0.97%,0.29365756750790967,8269,35839,8269,8271,8385,7410,8309.2,8290.6,8167.95,8406.734160456826,8299.265839543174,8381.61307269527,8268.38692730473,8327.94,8007.96
12,12,2010-01-20,TX,201001,0.13772203047394563,0.13536492970788788,0.13403805496828752,0.13283946460139742,-54,-0.65%,0.1627106173202855,0,25310,8214,8215,8385,7410,8301.6,8299.8,8187.2,8326.005713994198,8213.994286005802,8351.531138280547,8264.468861719453,8327.15,8047.25
13,13,2010-01-21,TX,201002,0.1275359878777675,0.1270308948564694,0.12676532769556026,0.12602070881387323,-82,-1.00%,0.2834277585657175,8134,53155,8132,8134,8353,7582,8301.6,8289.3,8200.6,8271.005713994198,8158.994286005801,8264.628721522924,8165.371278477075,8320.56,8080.64
14,14,2010-01-22,TX,201002,0.1135617476218537,0.11103628251536325,0.10748414376321352,0.1060695344725987,-237,-2.91%,0.30712726559242637,7897,57449,7897,7898,8353,7582,8268.2,8276.8,8197.9,8221.401144157271,8046.59885584273,8369.020291090234,8232.979708909766,8323.9,8071.9
15,15,2010-01-25,TX,201002,0.0969778600892331,0.1016920616213486,0.10054968287526427,0.10228133681286304,-45,-0.57%,0.2108306967846369,7852,59162,7852,7853,8353,7582,8173.8,8238.7,8191.4,8052.734902960126,7741.265097039874,8501.66427552284,8236.33572447716,8330.99,8051.81
16,16,2010-01-26,TX,201002,0.09781968179139658,0.09950332519572355,0.07670190274841437,0.07736341442882398,-296,-3.77%,0.442976970053712,7558,54769,7556,7559,8353,7520,8073.6,8191.4,8167.0,8020.824879683061,7683.175120316939,8524.963484495982,8181.036515504017,8361.66,7972.34
17,17,2010-01-27,TX,201002,0.07610068187557875,0.07820523613098745,0.07577167019027484,0.07551140668406431,-24,-0.32%,0.2831481617737228,7535,56155,7534,7537,8353,7509,7930.8,8116.2,8140.85,7788.33028214161,7323.66971785839,8520.858844771317,8019.141155228683,8378.73,7902.97
18,18,2010-01-28,TX,201002,0.0765215927266605,0.08763363919521845,0.07966173361522198,0.08940146476976177,164,2.18%,0.284112034925073,7697,53073,7697,7699,8353,7509,7794.6,8048.1,8121.15,7759.306546731336,7308.693453268664,8517.013393742727,7912.986606257272,8377.91,7864.39
19,19,2010-01-29,TX,201002,0.07424867413081909,0.07820523613098745,0.07010570824524313,0.07938378651401633,-117,-1.52%,0.36075343977632257,7581,53861,7578,7580,8353,7442,7707.6,7987.9,8090.15,7847.268135484332,7550.731864515668,8439.580251325246,7828.419748674754,8371.63,7808.67
20,20,2010-02-01,TX,201002,0.07567977102449701,0.07828941830120381,0.07010570824524313,0.073743581109521,-68,-0.90%,0.32249773134181936,7510,58055,7510,7513,8353,7442,7644.2,7909.0,8090.45,7698.514809201213,7461.485190798787,8195.778513283669,7598.22148671633,8560.077378568363,7995.922621431636
21,21,2010-02-02,TX,201002,0.07660577489687684,0.07567977102449701,0.06198731501057082,0.06178971293879956,-139,-1.85%,0.3481961101709465,7374,59631,7371,7373,8353,7346,7576.4,7825.0,8057.8,7578.233733604631,7447.766266395369,8131.60793980143,7572.39206019857,8633.04002986625,8016.95997013375
22,22,2010-02-03,TX,201002,0.06616718579004967,0.0693661082582709,0.06570824524312896,0.07273339506692482,127,1.72%,0.33872660829470486,7501,57371,7500,7501,8353,7346,7539.4,7735.1,8017.45,7477.023770919544,7264.976229080456,7822.284978922958,7289.715021077042,8648.768025935533,7967.231974064467
23,23,2010-02-04,TX,201002,0.07012374779021803,0.07020792996043437,0.07162790697674419,0.07323848808822292,6,0.08%,0.21758026144752654,7505,54743,7505,7507,8353,7346,7532.8,7663.7,7976.5,7608.175370304935,7393.824629695065,7753.680700108134,7314.319299891866,8566.00591163113,7863.9940883688705
24,24,2010-02-05,TX,201002,0.05303476723629935,0.05194039902348683,0.04372093023255814,0.04747874400202037,-304,-4.05%,0.3090182228435484,7202,54340,7200,7202,8353,7130,7494.4,7601.0,7938.9,7574.975289627923,7439.024710372077,7856.052857344272,7541.947142655728,8659.918639805737,7942.081360194264
25,25,2010-02-06,TX,201002,0.04705783315093863,0.04478491455509723,0.0374630021141649,0.043606364172068354,-47,-0.65%,0.24790670296519757,7155,55080,7155,7156,8353,7056,7418.6,7531.4,7885.05,7321.938992884842,7080.061007115158,7744.498753794672,7415.501246205328,8752.924663833935,7985.075336166065
