,Date,type,Month,Open,High,Low,Close,Price change,Price change Ratio,Volume,Final Price,# of OC,Final BBP,Final BSP,Hitorical HP,Historical LP,MA5,MA10,MA20,BBAND5UP,BBAND5LOW,BBAND10UP,BBAND10LOW,BBAND20UP,BBAND20LOW
0,2010-01-04,TX,201001,8203,8211,8101,8166,-35,-0.43%,84131.0,8167,50760,8166,8168,8211,7410,8112.0,7994.0,7872.0,8173.69,8051.51,8133.28,7855.32,8033.58,7710.42
1,2010-01-05,TX,201001,8212,8260,8125,8178,11,0.13%,108012.0,8178,51769,8178,8179,8260,7410,8139.0,8036.9,7893.3,8193.8,8084.2,8159.39,7914.41,8065.39,7721.21
2,2010-01-06,TX,201001,8197,8336,8179,8320,142,1.74%,120081.0,8321,54934,8318,8320,8336,7410,8191.6,8086.1,7921.65,8266.09,8117.11,8213.9,7958.3,8113.98,7729.32
3,2010-01-07,TX,201001,8335,8355,8230,8259,-62,-0.75%,120555.0,8260,54734,8259,8261,8355,7410,8225.4,8125.5,7945.2,8283.0,8167.8,8239.34,8011.66,8148.37,7742.03
4,2010-01-08,TX,201001,8287,8297,8183,8278,18,0.22%,104771.0,8277,55794,8276,8278,8355,7410,8240.6,8158.1,7977.1,8299.76,8181.44,8263.68,8052.52,8179.78,7774.42
5,2010-01-11,TX,201001,8278,8353,8251,8325,48,0.58%,88096.0,8322,56822,8321,8325,8355,7410,8240.2,8192.1,8003.7,8337.20270264101,8218.79729735899,8289.96,8094.24,8214.81,7792.59
6,2010-01-12,TX,201001,8318,8337,8246,8308,-14,-0.17%,99739.0,8309,56634,8308,8310,8355,7410,8272.0,8218.4,8027.7,8378.205262897574,8271.794737102426,8308.49,8128.31,8244.79,7810.61
7,2010-01-13,TX,201001,8259,8275,8191,8215,-94,-1.13%,108932.0,8215,56891,8215,8217,8355,7410,8298.0,8234.1,8048.5,8333.432262974418,8282.567737025582,8306.89,8161.31,8262.58,7834.42
8,2010-01-14,TX,201001,8246,8328,8236,8301,86,1.05%,81125.0,8299,56371,8300,8303,8355,7410,8277.0,8254.9,8075.9,8253.559045631344,8176.440954368657,8311.82,8197.98,8285.2,7866.5
9,2010-01-15,TX,201001,8310,8385,8307,8369,70,0.84%,96104.0,8367,54424,8368,8369,8385,7410,8285.4,8271.5,8109.6,8339.29673615336,8262.70326384664,8334.19,8208.81,8308.49,7910.71
10,2010-01-18,TX,201001,8300,8383,8286,8353,-14,-0.17%,78516.0,8351,49011,8352,8353,8385,7410,8303.6,8271.9,8142.1,8419.221907570303,8318.778092429697,8341.391560952543,8214.608439047457,8323.95,7960.25
11,2010-01-19,TX,201001,8370,8382,8230,8270,-81,-0.97%,121248.0,8269,35839,8269,8271,8385,7410,8309.2,8290.6,8167.95,8406.734160456826,8299.265839543174,8381.61307269527,8268.38692730473,8327.94,8007.96
12,2010-01-20,TX,201001,8306,8312,8198,8215,-54,-0.65%,67857.0,0,25310,8214,8215,8385,7410,8301.6,8299.8,8187.2,8326.005713994198,8213.994286005802,8351.531138280547,8264.468861719453,8327.15,8047.25
13,2010-01-21,TX,201002,8185,8213,8112,8134,-82,-1.00%,117077.0,8134,53155,8132,8134,8353,7582,8301.6,8289.3,8200.6,8271.005713994198,8158.994286005801,8264.628721522924,8165.371278477075,8320.56,8080.64
14,2010-01-22,TX,201002,8019,8023,7884,7897,-237,-2.91%,126740.0,7897,57449,7897,7898,8353,7582,8268.2,8276.8,8197.9,8221.401144157271,8046.59885584273,8369.020291090234,8232.979708909766,8323.9,8071.9
15,2010-01-25,TX,201002,7822,7912,7802,7852,-45,-0.57%,87477.0,7852,59162,7852,7853,8353,7582,8173.8,8238.7,8191.4,8052.734902960126,7741.265097039874,8501.66427552284,8236.33572447716,8330.99,8051.81
16,2010-01-26,TX,201002,7832,7886,7520,7556,-296,-3.77%,182130.0,7558,54769,7556,7559,8353,7520,8073.6,8191.4,8167.0,8020.824879683061,7683.175120316939,8524.963484495982,8181.036515504017,8361.66,7972.34
17,2010-01-27,TX,201002,7574,7633,7509,7534,-24,-0.32%,116963.0,7535,56155,7534,7537,8353,7509,7930.8,8116.2,8140.85,7788.33028214161,7323.66971785839,8520.858844771317,8019.141155228683,8378.73,7902.97
18,2010-01-28,TX,201002,7579,7745,7555,7699,164,2.18%,117356.0,7697,53073,7697,7699,8353,7509,7794.6,8048.1,8121.15,7759.306546731336,7308.693453268664,8517.013393742727,7912.986606257272,8377.91,7864.39
19,2010-01-29,TX,201002,7552,7633,7442,7580,-117,-1.52%,148605.0,7581,53861,7578,7580,8353,7442,7707.6,7987.9,8090.15,7847.268135484332,7550.731864515668,8439.580251325246,7828.419748674754,8371.63,7808.67
20,2010-02-01,TX,201002,7569,7634,7442,7513,-68,-0.90%,133007.0,7510,58055,7510,7513,8353,7442,7644.2,7909.0,8090.45,7698.514809201213,7461.485190798787,8195.778513283669,7598.22148671633,8560.077378568363,7995.922621431636
21,2010-02-02,TX,201002,7580,7603,7346,7371,-139,-1.85%,143485.0,7374,59631,7371,7373,8353,7346,7576.4,7825.0,8057.8,7578.233733604631,7447.766266395369,8131.60793980143,7572.39206019857,8633.04002986625,8016.95997013375
22,2010-02-03,TX,201002,7456,7528,7390,7501,127,1.72%,139624.0,7501,57371,7500,7501,8353,7346,7539.4,7735.1,8017.45,7477.023770919544,7264.976229080456,7822.284978922958,7289.715021077042,8648.768025935533,7967.231974064467
23,2010-02-04,TX,201002,7503,7538,7460,7507,6,0.08%,90229.0,7505,54743,7505,7507,8353,7346,7532.8,7663.7,7976.5,7608.175370304935,7393.824629695065,7753.680700108134,7314.319299891866,8566.00591163113,7863.9940883688705
24,2010-02-05,TX,201002,7300,7321,7130,7201,-304,-4.05%,127511.0,7202,54340,7200,7202,8353,7130,7494.4,7601.0,7938.9,7574.975289627923,7439.024710372077,7856.052857344272,7541.947142655728,8659.918639805737,7942.081360194264
25,2010-02-06,TX,201002,7229,7236,7056,7155,-47,-0.65%,102594.0,7155,55080,7155,7156,8353,7056,7418.6,7531.4,7885.05,7321.938992884842,7080.061007115158,7744.498753794672,7415.501246205328,8752.924663833935,7985.075336166065
26,2010-02-08,TX,201002,7155,7235,7125,7160,5,0.07%,99368.0,7162,48399,7161,7163,8353,7056,7347.0,7461.7,7826.55,7302.018366199601,7007.981633800399,7674.527118466219,7351.472881533781,8754.181688889212,7951.818311110788
27,2010-02-09,TX,201002,7171,7344,7151,7316,154,2.15%,115841.0,7316,37004,7316,7318,8353,7056,7304.8,7422.1,7769.15,7323.438551143848,6996.561448856152,7551.930622062712,7190.069377937288,8680.215464725552,7859.784535274449
28,2010-02-10,TX,201002,7350,7479,7345,7419,103,1.41%,117786.0,7414,27576,7417,7419,8353,7056,7267.8,7400.3,7724.2,7448.926144907614,7183.073855092386,7680.260174048783,7321.739825951216,8623.147473347562,7806.852526652437
29,2010-02-22,TX,201002,7708,7708,7553,7558,144,1.94%,49687.0,0,20726,7558,7559,8353,7056,7250.2,7372.3,7680.1,7521.413670962425,7316.586329037575,7656.876649282001,7357.123350717999,8524.719835687925,7743.280164312074
30,2010-02-23,TX,201003,7534,7552,7451,7535,1,0.01%,90651.0,7537,45011,7534,7535,8322,5193,7321.6,7370.1,7639.55,7712.44947393889,7403.55052606111,7347.944513337518,7054.055486662482,8254.818316328274,7539.181683671727
31,2010-02-24,TX,201003,7468,7545,7458,7480,-57,-0.76%,83099.0,7481,47018,7480,7482,8322,5193,7397.6,7372.3,7598.65,7682.089904480219,7387.910095519781,7304.214644053457,7005.785355946543,8170.52335471673,7533.47664528327
